conversation_id,text,rubric_1,rubric_2,rubric_4,rubric_5
2980322_125_1,"Plus 1 point for your good try. Let me review the answer for you. In the given question, Gregg filled a box with 6 cubes that each had a side length of 1 foot.",No,No,Yes,No
2982313_60_2,Good try. Can you define a line of symmetry?,No,Yes,Yes,No
2989226_2_1,"Your answer is incorrect. You have earned 1 point for your effort. 5 is the greatest among 5 and 3. Here is our first question. I will explain this question to you. Before that, Many students like to talk with their tutors during the session.",Yes,No,No,
2990115_85_1,"Okay, that's a good try! The product of 6 and 2 is 12.",Yes,No,Yes,No
3978685_37_1,"It was a good try. Plus 1 point for your active participation. The bricks is split into 2 parts. Since there are two equal pieces of brick and one of the two pieces is painted yellow, we can say that half of the brick is painted yellow.",Yes,No,No,No
3978685_37_2,"Ah, not quite. We want to focus on how many pieces the brick is cut into, not how long a side of the brick is Take another look at the brick. How many sections is it divided into?",,Yes,,
3981863_38_2,"Oh you're very close. 62 times 5 = 310, but 72 times 5 is a little bigger Could you give it another try please?",No,Yes,,Yes
3982385_33_1,Good effort. The value of 10 times 0.621 is 6.21.,,No,,
3983473_16_1,"It is a good try. Plus 1 point for your good try. In this question, Heloise is painting a rectangular brick. We have to find the how much of the brick is painted yellow. Here, there are 2 equal section of brick.",,No,Yes,
4012844_44_1,It was a good try. Plus 1 point.,,No,Yes,
4013993_24_1,That's a good try! let me explain you!,No,No,Yes,No
4014122_28_1,"Plus 1 point for your effort, [STUDENT]. Here comes your next practice question. Can you able to give it a try? How many slices of pizza ate each of his friends?",,Yes,No,
4054193_63_1,"Which equation can be used to show that Jason's answer is incorrect? It seems we are running out of time. Please be active in this session. Hope you had a good session today, and I thoroughly enjoyed working with you. Please fill in the whole feedback form before you leave. Thank you!",,Yes,,
4054686_35_1,That's the incorrect answer. The least favorite color is orange. What is most favorite color?,Yes,,,
4054686_35_2,Great try - why did you choose yellow?,No,Yes,Yes,
4055224_113_1,Nice effort! Plus 1 point.,,No,Yes,
4055570_209_1,Plus 1 point for your effort.,No,No,No,No
4055603_15_2,"We find the total number of bags by multiplying. If there are 2 bags and each bag has 10 legos, how many legos are in the 2 bags?",,Yes,,
4055638_29_2,"I see your logic, but decimals are actually what we get when we divide the fraction. So we would divide 2/3",,,No,Yes
4056213_24_2,Can you double check your work? Count up 6 from 9,No,Yes,No,Yes
4071501_53_2,"Hmm, not quite. It looks like we may have forgotten to carry the 1 when we multiplied the 2 and 6",No,,,Yes
4079053_56_1,"Please recheck your answer. Let me help you with that. The box has  3 toys inside. So, 7 groups of 3 bears. 7 groups of 3 things make 21 total things. Do you understand that step?",Yes,,,
4104575_59_1,"Good try, that's incorrect.",No,No,No,
4104667_21_2,"I think I know how you got that answer, but I just want to make sure. Could you explain to me how you got 43?",No,Yes,No,No
4104715_98_1,"Okay, our answer is incorrect.",No,No,,No
4104715_98_2,"Hm, not quite. Please take a look at the place value chart here: https://mathmonks.com/wp-content/uploads/2022/02/Place-Value-Chart.jpg We are trying to get the place value of the 3 in 375 What does the column third from the right say on the place value chart?",No,Yes,,
4110423_27_2,Great try! Can you explain how to find the volume of a rectangular prism?,No,,Yes,
4110589_12_2,Great! You can use either side as the length or width,,No,Yes,
4110653_70_2,"Hm, not quite. We need to break up the this shape into two smaller shapes This is because this shape is kind of weird and we can't easily get the area of it right away Can you think of how we can divide this shape up into two rectangles?",No,Yes,,Yes
4111481_50_2,What do you mean exactly? What would 2540 be rounded to the nearest hundred?,,Yes,No,
4111720_63_2,Could you say one sentence about what you learned from our chat?,,Yes,,
4111720_8_2,"Ok, then I'll see you next session.",,No,No,
4111721_76_2,"Ah, not quite. 100 * 2 = 200 Think about what you did when solving 10*10 and see if you can apply it to 100*10",No,Yes,,Yes
4111721_89_1,Please recheck your answer.,No,,No,No
4134665_71_1,Kindly recheck your answer.,No,,,No
